"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 29 years","Total","2006","From 1 to 3 times","36.9",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","23.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","13",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 29 years","Total","2006","More than 12 times","7.3",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 25 to 29 years","Total","2006","Never","24.8",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","39.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","20.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","9.9",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 25 to 29 years","Total","2006","More than 12 times","5.9",""
"Cinema","Estonia","Percentage","From 16 to 19 years","Total","2006","Never","27.6",""
"Cinema","Estonia","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","33.7",""
"Cinema","Estonia","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","24.1",""
"Cinema","Estonia","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","10.8",""
"Cinema","Estonia","Percentage","From 16 to 19 years","Total","2006","More than 12 times","3.7",""
"Cinema","Estonia","Percentage","From 16 to 24 years","Total","2006","Never","28.5",""
"Cinema","Estonia","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","35.2",""
"Cinema","Estonia","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","20.8",""
"Cinema","Estonia","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","11.7",""
