"Prihodi in prenoèitve turistov po: OBÈINE, LETO, DRŽAVE, SKUPINE"
"NASTANITVENIH OBJEKTOV , MERITVE"

" ";" ";" ";"Skupine nastanitvenih objektov - SKUPAJ"
" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"SLOVENIJA"
" ";" ";"DOMAÈI";6711
" ";" ";"TUJI";1860
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";9437
" ";" ";"DOMAÈI";7291
" ";" ";"TUJI";2146
"Jezersko"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";6234
" ";" ";"DOMAÈI";3484
" ";" ";"TUJI";2750
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";6795
" ";" ";"DOMAÈI";3683
" ";" ";"TUJI";3112
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";8351
" ";" ";"DOMAÈI";4070
" ";" ";"TUJI";4281
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";7239
" ";" ";"DOMAÈI";2257
" ";" ";"TUJI";4982
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";9526
" ";" ";"DOMAÈI";3808
" ";" ";"TUJI";5718
"Kamnik"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";46257
" ";" ";"DOMAÈI";14424
" ";" ";"TUJI";31833
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";51625
" ";" ";"DOMAÈI";17340
" ";" ";"TUJI";34285
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";54967
" ";" ";"DOMAÈI";22299
" ";" ";"TUJI";32668
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";56545
" ";" ";"DOMAÈI";21755
" ";" ";"TUJI";34790
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";55790
" ";" ";"DOMAÈI";19457
" ";" ";"TUJI";36333
"Kobarid"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";97350
" ";" ";"DOMAÈI";40173
" ";" ";"TUJI";57177
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";99249
" ";" ";"DOMAÈI";39892
" ";" ";"TUJI";59357
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";97457
" ";" ";"DOMAÈI";37198
" ";" ";"TUJI";60259
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";83964
" ";" ";"DOMAÈI";25800
" ";" ";"TUJI";58164
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";103731
" ";" ";"DOMAÈI";32563
" ";" ";"TUJI";71168
"Kranjska Gora"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";472061
" ";" ";"DOMAÈI";188554
" ";" ";"TUJI";283507
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";442091
" ";" ";"DOMAÈI";170933
" ";" ";"TUJI";271158
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";472743
" ";" ";"DOMAÈI";171783
" ";" ";"TUJI";300960
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";467069
" ";" ";"DOMAÈI";158970
" ";" ";"TUJI";308099
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";520265
" ";" ";"DOMAÈI";195615
" ";" ";"TUJI";324650
"Ljubno"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";2290
" ";" ";"DOMAÈI";820
" ";" ";"TUJI";1470
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";2471
" ";" ";"DOMAÈI";931
" ";" ";"TUJI";1540
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";4326
" ";" ";"DOMAÈI";1197
" ";" ";"TUJI";3129
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";4785
" ";" ";"DOMAÈI";965
" ";" ";"TUJI";3820
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";7115
" ";" ";"DOMAÈI";1833
" ";" ";"TUJI";5282
"Lovrenc na Pohorju"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";z
" ";" ";"DOMAÈI";z
" ";" ";"TUJI";z
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";z
" ";" ";"DOMAÈI";z
" ";" ";"TUJI";z
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";309
" ";" ";"DOMAÈI";180
" ";" ";"TUJI";129
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";264
" ";" ";"DOMAÈI";108
" ";" ";"TUJI";156
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";250
" ";" ";"DOMAÈI";137
" ";" ";"TUJI";113
"Luèe"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";3662
" ";" ";"DOMAÈI";2041
" ";" ";"TUJI";1621
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";4144
" ";" ";"DOMAÈI";2488
" ";" ";"TUJI";1656
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";12521
" ";" ";"DOMAÈI";3851
" ";" ";"TUJI";8670
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";13476
" ";" ";"DOMAÈI";3802
" ";" ";"TUJI";9674
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";15067
" ";" ";"DOMAÈI";4072
" ";" ";"TUJI";10995
